id,title,price,year,mileage,url,model,scrape_date,scrape_timestamp,date,price_change,price_change_percent,internal_id
lexus-lc-lc500-cabrio-nowy-model-lift-zar-w-pl-jak-nowy-tylko-400-kilometrow-ID6HnvoR.html,Lexus LC 500 Superturismo,610000,2024,405,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc500-cabrio-nowy-model-lift-zar-w-pl-jak-nowy-tylko-400-kilometrow-ID6HnvoR.html,lexus-lc,2025-05-29T00:12:16.246588,1748470336,2025-05-29,0,0,29
lexus-lc-lexus-lc500h-superturismo-salon-pl-vat-marza-serwis-aso-ID6HfDh4.html,Lexus LC,299999,2017,110614,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lexus-lc500h-superturismo-salon-pl-vat-marza-serwis-aso-ID6HfDh4.html,lexus-lc,2025-05-29T00:12:16.917781,1748470336,2025-05-29,0,0,30
lexus-lc-lexus-lc-500-przebieg-62000-pojemnosc-4969-ID6HoSeA.html,Lexus LC 500 Carbon,339000,2018,62000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lexus-lc-500-przebieg-62000-pojemnosc-4969-ID6HoSeA.html,lexus-lc,2025-05-29T00:12:17.649463,1748470337,2025-05-29,0,0,31
lexus-lc-2020-lexus-lc-500-5-0-benzyna-automat-rwd-ID6HoRPs.html,Lexus LC,179000,2021,54056,https://www.otomoto.pl/osobowe/oferta/lexus-lc-2020-lexus-lc-500-5-0-benzyna-automat-rwd-ID6HoRPs.html,lexus-lc,2025-05-29T00:12:18.933814,1748470338,2025-05-29,0,0,32
lexus-lc-500-carbon-hud-bezwypadkowyi-mozliwosc-finansowania-ID6HbWI4.html,Lexus LC 500 Club Edition,299000,2017,44940,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500-carbon-hud-bezwypadkowyi-mozliwosc-finansowania-ID6HbWI4.html,lexus-lc,2025-05-29T00:12:20.980538,1748470340,2025-05-29,0,0,33
lexus-lc-lc-500h-hybrid-prestige-vat-marza-serwis-aso-lexus-lawica-ID6Gyfxi.html,Lexus LC,295900,2019,30852,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc-500h-hybrid-prestige-vat-marza-serwis-aso-lexus-lawica-ID6Gyfxi.html,lexus-lc,2025-05-29T00:12:22.038205,1748470342,2025-05-29,0,0,34
lexus-lc-500-drugi-wlasciciel-auto-codzienne-nie-wyscigowe-ID6GQKyw.html,Lexus LC 500 Carbon,418200,2017,90200,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500-drugi-wlasciciel-auto-codzienne-nie-wyscigowe-ID6GQKyw.html,lexus-lc,2025-05-29T00:12:22.786034,1748470342,2025-05-29,0,0,35
lexus-lc-500h-hybrid-359km-najbogatsza-wersja-serwis-bezwypadkowy-ID6Hmrtn.html,Lexus LC 500h Superturismo,333000,2018,83000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500h-hybrid-359km-najbogatsza-wersja-serwis-bezwypadkowy-ID6Hmrtn.html,lexus-lc,2025-05-29T00:12:23.504880,1748470343,2025-05-29,0,0,36
lexus-lc-salon-faktura-vat-23-ID6Hok4g.html,Lexus LC 500h Prestige,320000,2018,33706,https://www.otomoto.pl/osobowe/oferta/lexus-lc-salon-faktura-vat-23-ID6Hok4g.html,lexus-lc,2025-05-29T00:12:24.430188,1748470344,2025-05-29,0,0,37
lexus-lc-lexus-lc500-krajowy-wersja-superturismo-stan-idealny-ID6GOnFk.html,Lexus LC 500 Superturismo,370000,2019,8800,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lexus-lc500-krajowy-wersja-superturismo-stan-idealny-ID6GOnFk.html,lexus-lc,2025-05-29T00:12:25.559111,1748470345,2025-05-29,0,0,38
lexus-lc-lc500h-automat-maly-przebieg-ID6Hoha5.html,Lexus LC 500h Prestige,162899,2017,62000,https://www.otomoto.pl/osobowe/oferta/lexus-lc-lc500h-automat-maly-przebieg-ID6Hoha5.html,lexus-lc,2025-05-29T00:12:26.396019,1748470346,2025-05-29,0,0,39
lexus-lc-500-superturismo-luxury-navi-ID6GV62J.html,Lexus LC,465000,2021,89381,https://www.otomoto.pl/osobowe/oferta/lexus-lc-500-superturismo-luxury-navi-ID6GV62J.html,lexus-lc,2025-05-29T00:12:27.194902,1748470347,2025-05-29,0,0,40
